table,project,sponsors,link,category,special
45,HermeSee,"1517: Best Hack, DRW: Most Innovative Hack",http://mhacks9.devpost.com/submissions/70088-hermesee,Hardware,
46,ReliaPill,"Best Use of Twilio's API, Amazon Web Services - Best Use of AWS, 1517: Best Hack, DRW: Most Innovative Hack",http://mhacks9.devpost.com/submissions/70090-reliapill,Hardware,
47,Automat,,http://mhacks9.devpost.com/submissions/70091-automat,Android,
48,Blacklist,"#HackHarassment, Best Use of Twilio's API",http://mhacks9.devpost.com/submissions/70092-blacklist,Web Development,
49,Pomodoro Timer,,http://mhacks9.devpost.com/submissions/70093-pomodoro-timer,Web Development,
50,Last Night,"Best Use Of a .tech Domain, Best Domain Name from Domain.com, 1517: Best Hack",http://mhacks9.devpost.com/submissions/70094-last-night,Game Dev,
51,TalkNess,"Best Use of Twilio's API, Capital One: Best Financial Hack, 1517: Best Hack, DRW: Most Innovative Hack",http://mhacks9.devpost.com/submissions/70097-talkness,Android,
52,Recap,"1517: Best Hack, DRW: Most Innovative Hack, Best use of Wolfram Tech",http://mhacks9.devpost.com/submissions/70098-recap,Web Development,
53,Wake Up,,http://mhacks9.devpost.com/submissions/70099-wake-up,Android,
54,Jift It,"Best Use Of a .tech Domain, Amazon Web Services - Best Use of AWS, Best Domain Name from Domain.com, 1517: Best Hack, DRW: Most Innovative Hack",http://mhacks9.devpost.com/submissions/70100-jift-it,Web Development,
55,MHacks9 Lookup,"1517: Best Hack, Best use of Wolfram Tech",http://mhacks9.devpost.com/submissions/70101-mhacks9-lookup,Web Development,
56,Lumiyo,"1517: Best Hack, DRW: Most Innovative Hack",http://mhacks9.devpost.com/submissions/70103-lumiyo,VR/AR,
57,Whispr,"Best use of MixMax's API, #HackHarassment, Best Use of Twilio's API, C2's Best Hack for Air Traffic Control, Amazon Web Services - Best Use of AWS, 1517: Best Hack, DRW: Most Innovative Hack",http://mhacks9.devpost.com/submissions/70104-whispr,Hardware,
58,Shadow Yesterday,"Best Use Of a .tech Domain, DRW: Most Innovative Hack",http://mhacks9.devpost.com/submissions/70105-shadow-yesterday,Web Development,
59,lifetech,"Best Use of Twilio's API, Best Use Of a .tech Domain, Amazon Web Services - Best Use of AWS, Best Domain Name from Domain.com, 1517: Best Hack, DRW: Most Innovative Hack, Best use of Wolfram Tech",http://mhacks9.devpost.com/submissions/70106-lifetech,AI/ML,
60,BusinessSync,"Best Use Of a .tech Domain, Best Domain Name from Domain.com, 1517: Best Hack, DRW: Most Innovative Hack",http://mhacks9.devpost.com/submissions/70108-businesssync,Android,
61,WayPoint,"1517: Best Hack, DRW: Most Innovative Hack",http://mhacks9.devpost.com/submissions/70109-waypoint,iOS,
63,PerspectiveML,"1517: Best Hack, DRW: Most Innovative Hack",http://mhacks9.devpost.com/submissions/70111-perspectiveml,AI/ML,
64,MakeBank,,http://mhacks9.devpost.com/submissions/70112-makebank,Web Development,
65,Arduinophone,,http://mhacks9.devpost.com/submissions/70114-arduinophone,Hardware,
66,Converge,"Best Use of Twilio's API, Amazon Web Services - Best Use of AWS, DRW: Most Innovative Hack",http://mhacks9.devpost.com/submissions/70115-converge,Android,
67,Photosynthesis,,http://mhacks9.devpost.com/submissions/70116-photosynthesis,AI/ML,
68,Word Generator,,http://mhacks9.devpost.com/submissions/70118-word-generator,AI/ML,
69,Matrixcism,"#HackHarassment, 1517: Best Hack, DRW: Most Innovative Hack",http://mhacks9.devpost.com/submissions/70119-matrixcism,AI/ML,
70,Sudodragon for Alexa,"Amazon Web Services - Best Use of AWS, 1517: Best Hack, DRW: Most Innovative Hack",http://mhacks9.devpost.com/submissions/70121-sudodragon-for-alexa,Game Dev,
71,Political Dialogue,,http://mhacks9.devpost.com/submissions/70122-political-dialogue,Web Development,
72,YouTubeFind,"1517: Best Hack, DRW: Most Innovative Hack, Best Use Of a .tech Domain",http://mhacks9.devpost.com/submissions/70123-youtubefind,Web Development,
73,Bubble,"1517: Best Hack, DRW: Most Innovative Hack",http://mhacks9.devpost.com/submissions/70124-bubble,iOS,
74,Frugal,"Capital One: Best Financial Hack, 1517: Best Hack, DRW: Most Innovative Hack",http://mhacks9.devpost.com/submissions/70125-frugal,iOS,
75,Sven,"Capital One: Best Financial Hack, 1517: Best Hack, DRW: Most Innovative Hack",http://mhacks9.devpost.com/submissions/70126-sven,AI/ML,
76,Bullet Journal,,http://mhacks9.devpost.com/submissions/70127-bullet-journal,Android,
77,Sporadic Systematic Super Graphic Air Traffic,"#HackHarassment, C2's Best Hack for Air Traffic Control, Best Use Of a .tech Domain, Best Domain Name from Domain.com, DRW: Most Innovative Hack",http://mhacks9.devpost.com/submissions/70128-sporadic-systematic-super-graphic-air-traffic,Web Development,
78,colorMe,"Best Use of Twilio's API, Best Domain Name from Domain.com, DRW: Most Innovative Hack",http://mhacks9.devpost.com/submissions/70129-colorme,Web Development,
79,PixiuBot,Capital One: Best Financial Hack,http://mhacks9.devpost.com/submissions/70130-pixiubot,Web Development,
80,Plutus,"Amazon Web Services - Best Use of AWS, Capital One: Best Financial Hack, Best use of Wolfram Tech",http://mhacks9.devpost.com/submissions/70131-plutus,AI/ML,
81,Cadmus,"1517: Best Hack, DRW: Most Innovative Hack, Best use of Wolfram Tech",http://mhacks9.devpost.com/submissions/70132-cadmus,Web Development,
82,Java,,http://mhacks9.devpost.com/submissions/70133-java,Web Development,
83,LandmARk-Lens,"Best Use of Twilio's API, 1517: Best Hack, DRW: Most Innovative Hack",http://mhacks9.devpost.com/submissions/70134-landmark-lens,VR/AR,
84,Punning,,http://mhacks9.devpost.com/submissions/70135-punning,iOS,
85,DocBot,"Best Use of Twilio's API, Amazon Web Services - Best Use of AWS, Best Domain Name from Domain.com, DRW: Most Innovative Hack",http://mhacks9.devpost.com/submissions/70137-docbot,Web Development,
86,Baseband,"Best Use Of a .tech Domain, Amazon Web Services - Best Use of AWS, 1517: Best Hack, DRW: Most Innovative Hack",http://mhacks9.devpost.com/submissions/70138-baseband,Web Development,
87,Alexa Secure,"Best Use of Twilio's API, Amazon Web Services - Best Use of AWS, DRW: Most Innovative Hack",http://mhacks9.devpost.com/submissions/70139-alexa-secure,Hardware,
88,ScraperGUI,Best Use of Twilio's API,http://mhacks9.devpost.com/submissions/70140-scrapergui,Web Development,
89,Proquestination 2.0,,http://mhacks9.devpost.com/submissions/70141-proquestination-2-0,Web Development,
90,Penny-wise,"Best Use of Twilio's API, Best Use Of a .tech Domain, Best Domain Name from Domain.com, Capital One: Best Financial Hack, 1517: Best Hack, DRW: Most Innovative Hack",http://mhacks9.devpost.com/submissions/70142-penny-wise,Web Development,
91,Alexa To Boeing,"C2's Best Hack for Air Traffic Control, Amazon Web Services - Best Use of AWS",http://mhacks9.devpost.com/submissions/70143-alexa-to-boeing,VR/AR,
92,M.E.M.E - (Mhacks Educational Meme Exchange),"Best Use Of a .tech Domain, Amazon Web Services - Best Use of AWS, Best Domain Name from Domain.com, Capital One: Best Financial Hack, 1517: Best Hack, DRW: Most Innovative Hack",http://mhacks9.devpost.com/submissions/70144-m-e-m-e-mhacks-educational-meme-exchange,Web Development,
93,Learn to Save - A Minecraft Mod,"Capital One: Best Financial Hack, DRW: Most Innovative Hack",http://mhacks9.devpost.com/submissions/70147-learn-to-save-a-minecraft-mod,Game Dev,
94,CARL:Contextual Analysis Using Reinforcement Learning,"Capital One: Best Financial Hack, 1517: Best Hack, DRW: Most Innovative Hack, Best use of Wolfram Tech",http://mhacks9.devpost.com/submissions/70154-carl-contextual-analysis-using-reinforcement-learning,AI/ML,
95,Scanning You,"1517: Best Hack, DRW: Most Innovative Hack, Best use of Wolfram Tech",http://mhacks9.devpost.com/submissions/70161-scanning-you,Web Development,
96,Electric Longboard,,http://mhacks9.devpost.com/submissions/70282-electric-longboard,Hardware,
97,MailMax Pack,"Best Use of Twilio's API, Best use of MixMax's API, Amazon Web Services - Best Use of AWS, 1517: Best Hack, DRW: Most Innovative Hack, Best Use Of a .tech Domain, Best Domain Name from Domain.com",http://mhacks9.devpost.com/submissions/70175-mailmax-pack,Web Development,
98,SitarZerÌü,"1517: Best Hack, DRW: Most Innovative Hack, Best Use Of a .tech Domain, Best Domain Name from Domain.com",http://mhacks9.devpost.com/submissions/70177-sitarzero,Game Dev,
99,libseat,DRW: Most Innovative Hack,http://mhacks9.devpost.com/submissions/70181-libseat,Web Development,
100,Reassurance,"1517: Best Hack, DRW: Most Innovative Hack, Capital One: Best Financial Hack, Best Use Of a .tech Domain",http://mhacks9.devpost.com/submissions/70191-reassurance,iOS,
101,Super Pi Boy 64,,http://mhacks9.devpost.com/submissions/70209-super-pi-boy-64,Hardware,
102,Project Air,"C2's Best Hack for Air Traffic Control, Amazon Web Services - Best Use of AWS, 1517: Best Hack, DRW: Most Innovative Hack",http://mhacks9.devpost.com/submissions/69967-project-air,VR/AR,
103,SkyTracer: Bermuda Triangle ,C2's Best Hack for Air Traffic Control,http://mhacks9.devpost.com/submissions/70110-skytracer-bermuda-triangle,VR/AR,
